City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
247,Castro,BR,-24.7911,-50.0119,47.46,94,14,0.92,few clouds
248,Bonavista,CA,48.6499,-53.1147,48.36,89,100,13.09,overcast clouds
249,Effingham,US,32.3669,-81.3332,60.89,76,20,3.09,few clouds
250,Birin,NP,26.8865,88.0718,69.19,82,61,4.45,broken clouds
251,Nara,JP,34.6851,135.8049,69.49,36,100,10.54,overcast clouds
252,Abay,KZ,49.6311,72.8539,68.38,25,100,20.09,overcast clouds
253,Nuuk,GL,64.1835,-51.7216,32.61,93,75,1.14,broken clouds
254,Ust-Kut,RU,56.7938,105.7672,36.19,63,92,7.18,overcast clouds
255,Ipojuca,BR,-8.3989,-35.0639,73.31,91,9,4.38,clear sky
256,Sibolga,ID,1.7427,98.7792,86.13,60,91,3.76,overcast clouds
257,Itarema,BR,-2.9248,-39.9167,77.56,82,4,12.86,clear sky
258,Opuwo,NA,-18.0607,13.84,75.0,23,68,2.68,broken clouds
259,Port Hardy,CA,50.6996,-127.4199,55.15,94,18,2.26,few clouds
260,Pacifica,US,37.6138,-122.4869,67.93,90,20,11.5,fog
261,Najran,SA,17.4924,44.1277,80.85,15,41,6.22,scattered clouds
262,Katangli,RU,51.7102,143.2326,43.03,49,48,5.39,scattered clouds
263,Havoysund,NO,70.9963,24.6622,43.03,77,84,12.91,broken clouds
264,Santa Maria,BR,-29.6842,-53.8069,54.57,80,0,5.5,clear sky
265,Sungaipenuh,ID,-2.0833,101.3833,75.54,61,98,4.23,overcast clouds
266,Codrington,AU,-38.2667,141.9667,53.49,56,45,15.03,scattered clouds
267,Antalaha,MG,-14.9003,50.2788,74.05,75,73,12.35,light rain
268,Gold Coast,AU,-28.0,153.4333,77.0,70,100,17.27,overcast clouds
269,Mareeba,AU,-17.0,145.4333,87.44,62,96,9.8,overcast clouds
270,Antofagasta,CL,-23.65,-70.4,58.28,85,29,2.35,scattered clouds
271,Xuddur,SO,4.1213,43.8894,79.95,54,62,17.47,broken clouds
272,Hamilton,US,39.1834,-84.5333,43.77,85,0,5.48,clear sky
273,Uvat,RU,59.1433,68.8953,45.86,83,83,6.53,broken clouds
274,Oktyabrskiy,RU,54.4815,53.471,48.49,86,100,12.06,overcast clouds
275,Sukumo,JP,32.9333,132.7333,71.33,63,91,3.31,overcast clouds
276,Kavieng,PG,-2.5744,150.7967,84.31,68,98,12.5,overcast clouds
277,Chuy,UY,-33.6971,-53.4616,54.37,78,20,10.09,few clouds
278,Maldonado,UY,-34.6667,-54.9167,61.41,45,60,16.62,broken clouds
279,Manggar,ID,-2.8833,108.2667,76.39,87,100,7.61,overcast clouds
280,Fortuna,US,40.5982,-124.1573,56.35,83,19,4.12,light rain
281,Calama,CL,-22.4667,-68.9333,49.6,15,0,6.44,clear sky
282,Zhangye,CN,38.9342,100.4517,48.61,14,4,15.03,clear sky
283,Havelock,US,34.8791,-76.9013,71.94,88,30,5.64,scattered clouds
284,Augusto Correa,BR,-1.0217,-46.635,75.25,89,2,2.73,clear sky
285,Salalah,OM,17.0151,54.0924,82.65,53,18,4.79,few clouds
286,Ilulissat,GL,69.2167,-51.1,28.42,74,100,0.0,overcast clouds
287,Arraial Do Cabo,BR,-22.9661,-42.0278,71.06,93,88,9.93,overcast clouds
288,Lyman,UA,48.9884,37.8023,54.46,68,3,9.78,clear sky
289,Deshnok,IN,27.7986,73.3447,88.61,44,78,10.56,broken clouds
290,Porto Walter,BR,-8.2686,-72.7439,69.96,100,100,2.21,moderate rain
291,Plaeng Yao,TH,13.5847,101.284,91.15,67,95,6.15,overcast clouds
292,Moron,AR,-34.6534,-58.6198,69.03,62,79,8.12,broken clouds
293,Souillac,MU,-20.5167,57.5167,73.04,62,57,15.48,broken clouds
294,Shimoda,JP,34.6667,138.95,70.05,66,100,14.09,overcast clouds
295,Narsaq,GL,60.9167,-46.05,32.22,80,45,6.4,scattered clouds
296,Genhe,CN,50.7833,121.5167,40.77,41,98,5.68,overcast clouds
297,Sao Felix Do Xingu,BR,-6.6447,-51.995,73.17,65,24,0.6,few clouds
298,Krasnoborsk,RU,61.5598,45.934,47.25,83,82,10.38,broken clouds
299,Srisailam,IN,16.0833,78.8667,81.23,75,89,1.05,moderate rain
300,Mashhad,IR,36.297,59.6062,68.14,40,0,4.61,clear sky
301,Pisco,PE,-13.7,-76.2167,57.22,92,8,2.89,clear sky
302,Ban Nahin,LA,18.2418,104.2122,94.39,43,31,2.04,scattered clouds
303,Solnechnyy,RU,50.7214,136.6319,40.41,61,87,4.07,overcast clouds
304,Natal,BR,-5.795,-35.2094,72.25,100,40,4.61,scattered clouds
305,Yambio,SS,4.5721,28.3955,70.86,94,100,1.9,overcast clouds
306,Auki,SB,-8.7676,160.7034,82.8,65,83,0.78,broken clouds
307,Flinders,AU,-34.5833,150.8552,64.18,90,100,5.01,moderate rain
308,Boden,SE,65.8252,21.6886,44.6,91,79,5.3,broken clouds
309,Itoman,JP,26.1247,127.6694,82.42,65,75,20.71,light intensity shower rain
310,Half Moon Bay,US,37.4636,-122.4286,66.02,88,100,11.5,fog
311,Pravdinsk,RU,54.4429,21.0179,53.85,90,100,7.49,overcast clouds
312,Aklavik,CA,68.2191,-135.0107,39.51,59,73,21.47,broken clouds
313,Porto Torres,IT,40.835,8.3972,57.38,76,67,3.83,broken clouds
314,Bambous Virieux,MU,-20.3428,57.7575,76.21,64,80,15.37,broken clouds
315,Chervona Sloboda,UA,49.3789,32.1464,52.88,74,2,5.75,clear sky
316,Leningradskiy,RU,69.3833,178.4167,20.26,75,82,8.55,broken clouds
317,Cape Canaveral,US,28.4058,-80.6048,75.97,84,0,0.0,clear sky
318,Rengo,CL,-34.4167,-70.8667,51.87,94,84,2.19,broken clouds
319,North Platte,US,41.1239,-100.7654,42.39,90,22,5.01,few clouds
320,Clarence Town,AU,-32.5833,151.7833,67.86,98,98,3.83,light rain
321,Kathu,TH,7.9178,98.3332,85.82,71,99,0.47,overcast clouds
322,Nantucket,US,41.2835,-70.0995,60.15,79,36,16.89,scattered clouds
323,Gorontalo,ID,0.5412,123.0595,85.57,74,87,3.4,overcast clouds
324,Maceio,BR,-9.6658,-35.7353,72.84,94,75,2.3,broken clouds
325,Majene,ID,-3.5403,118.9707,82.36,81,99,4.41,overcast clouds
326,Namibe,AO,-15.1961,12.1522,67.41,89,48,2.13,scattered clouds
