City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
137,Ponta Do Sol,32.6667,-17.1,73.0,65,52,6.2,PT,2022-10-07 04:45:30
138,Yulara,-25.2406,130.9889,78.89,30,9,8.59,AU,2022-10-07 04:43:21
139,Am Timan,11.0297,20.2827,71.15,89,100,1.99,TD,2022-10-07 04:45:31
140,Brae,60.3964,-1.353,50.0,84,78,28.07,GB,2022-10-07 04:45:31
141,Iskateley,67.6803,53.1512,42.89,91,100,17.92,RU,2022-10-07 04:45:32
142,Poya,-21.35,165.15,77.56,66,73,11.21,NC,2022-10-07 04:45:32
143,Yumen,40.2833,97.2,59.58,18,0,21.9,CN,2022-10-07 04:45:32
144,Wuwei,37.9281,102.6414,61.38,27,77,5.68,CN,2022-10-07 04:45:33
145,Georgetown,5.4112,100.3354,86.9,74,20,10.36,MY,2022-10-07 04:44:21
146,Kahului,20.8947,-156.47,80.62,79,40,10.36,US,2022-10-07 04:43:26
147,Lavrentiya,65.5833,-171.0,37.2,73,60,31.68,RU,2022-10-07 04:45:34
148,Severnyy,50.677,36.5532,48.24,93,27,6.71,RU,2022-10-07 04:45:34
149,Flin Flon,54.7682,-101.865,34.11,50,68,9.17,CA,2022-10-07 04:45:35
150,New Norfolk,-42.7826,147.0587,64.71,58,78,7.76,AU,2022-10-07 04:43:14
151,Bonthe,7.5264,-12.505,76.53,88,98,2.91,SL,2022-10-07 04:45:36
152,Isangel,-19.55,169.2667,80.71,83,75,4.61,VU,2022-10-07 04:45:36
153,Cassilandia,-19.1133,-51.7342,68.4,86,99,22.01,BR,2022-10-07 04:45:37
154,Polunochnoye,60.8697,60.4153,42.04,93,100,2.39,RU,2022-10-07 04:45:37
155,Soe,-9.8607,124.284,84.79,43,25,10.31,ID,2022-10-07 04:45:37
156,Maneadero,31.7167,-116.5667,65.1,87,32,5.01,MX,2022-10-07 04:45:38
157,Livingston,55.9029,-3.5226,51.48,93,75,12.66,GB,2022-10-07 04:45:38
158,Hamilton,39.1834,-84.5333,59.94,81,20,0.0,US,2022-10-07 04:45:36
159,Adrar,20.5022,-10.0711,82.9,25,3,1.95,MR,2022-10-07 04:45:39
160,Goderich,43.7501,-81.7165,56.91,82,100,14.97,CA,2022-10-07 04:45:39
161,Mount Isa,-20.7333,139.5,94.77,23,42,5.75,AU,2022-10-07 04:45:40
162,Havre-Saint-Pierre,50.2334,-63.5986,50.36,93,100,5.75,CA,2022-10-07 04:45:40
163,Bodden Town,19.2833,-81.25,82.92,76,59,13.8,KY,2022-10-07 04:45:41
164,Tuktoyaktuk,69.4541,-133.0374,39.2,87,20,10.36,CA,2022-10-07 04:45:41
